Model,Mean_Accuracy,Std_Accuracy,Min_Accuracy,Max_Accuracy,Mean_F1,Std_F1,Mean_Precision,Mean_Recall,Mean_Time,Features,Rank
XGBoost (CV-Selected),0.9658869395711498,0.015478368445306288,0.9181286549707602,0.9883040935672515,0.9658193704806506,0.015512973250977738,0.9662343303411308,0.9658869395711498,0.03471492926279704,6,1
RF Default (CV-Selected),0.9656920077972707,0.011863644487097808,0.9415204678362573,0.9883040935672515,0.9656143368885645,0.011950510298742872,0.9659710351424025,0.9656920077972707,0.13714089393615722,6,2
DIO-CV-Optimized RF,0.9625730994152045,0.013301147843455728,0.9298245614035088,0.9824561403508771,0.9624722497620352,0.013373414189657347,0.962941491605551,0.9625730994152045,0.2251650094985962,6,3
XGBoost (All),0.9623781676413252,0.01522590610930098,0.935672514619883,0.9883040935672515,0.9623317422603794,0.015179331141194095,0.9630444966245963,0.9623781676413252,0.04429186185201009,30,4
RF Default (All),0.9586744639376217,0.013583821746732432,0.9298245614035088,0.9824561403508771,0.9585775136778766,0.01371905403224962,0.9591674534117545,0.9586744639376217,0.16574893792470297,30,5
Gradient Boosting,0.957504873294347,0.016535914277152827,0.9122807017543859,0.9941520467836257,0.957414971710801,0.016581350018936725,0.9579439916219962,0.957504873294347,0.3959539254506429,30,6
Logistic Regression,0.9491228070175436,0.014882629237135582,0.9239766081871345,0.9766081871345029,0.9489460074661266,0.01492345567028346,0.9496751463906554,0.9491228070175436,0.10429229736328124,30,7
Naive Bayes,0.9419103313840154,0.015018604510142869,0.9064327485380117,0.9649122807017544,0.9415788987305166,0.01510478055322668,0.9426857613153197,0.9419103313840154,0.0021744728088378905,30,8
KNN,0.9302144249512672,0.014711861414513226,0.9005847953216374,0.9707602339181286,0.9297341843657333,0.014889791503727151,0.9310167918599422,0.9302144249512672,0.0006693919499715169,30,9
SVM,0.9155945419103315,0.019494152022418363,0.8654970760233918,0.9473684210526315,0.9137516806915044,0.02056353084335544,0.9199596690042718,0.9155945419103315,0.004534657796223958,30,10
